proteins,genes
1010418,1010417
1010423,1010422
1010433,1010430
1010446,1010445
1010464,1010463
1010469,1010468
1010495,1010494
1010500,1010499
1010515,1010507
1010520,1010519
1010529,1010526
1010543,1010536
1010548,1010547
1010571,1010570
1010576,1010575
1010602,1010601
1010610,1010609
1010615,1010614
1010620,1010619
1010634,1010627
1010652,1010641
1010661,1010658
1010681,1010678
1010711,1010706
1010716,1010715
1010741,1010740
1010746,1010745
1010756,1010753
1010761,1010760
1010770,1010767
1010780,1010776
1010796,1010786
1010813,1010805
1010839,1010838
1010848,1010845
1010858,1010855
1010869,1010864
1010896,1010895
1010901,1010900
1010909,1010908
1010914,1010913
1010921,1010920
1010933,1010928
1010941,1010940
1010949,1010948
1010969,1010968
1010993,1010992
1010998,1010997
1011018,1011009
1011055,1011050
1011064,1011061
1011069,1011068
1011079,1011076
1011088,1011085
1011110,1011094
1011119,1011116
1011136,1011135
1011153,1011152
1011183,1011180
1011198,1011189
1011203,1011202
1011208,1011207
1011213,1011212
1011218,1011217
1011228,1011227
1011240,1011235
1011271,1011270
1011276,1011275
1011281,1011280
1011306,1011305
1011318,1011315
1011323,1011322
1011328,1011327
1011340,1011335
1011355,1011347
1011365,1011361
1011371,1011369
1011371,1011370
1011400,1011393
1011427,1011422
1011467,1011460
1011481,1011474
1011488,1011487
1011493,1011492
1011498,1011497
1011503,1011502
1011518,1011517
1011528,1011524
1011558,1011553
1011570,1011565
1011594,1011593
1011599,1011598
1011604,1011603
1011609,1011608
1011614,1011613
1011624,1011620
1011645,1011644
1011650,1011649
1011676,1011675
1011681,1011680
1011708,1011707
1011713,1011712
1011718,1011717
1011727,1011724
1011734,1011733
1011743,1011740
1011748,1011747
1011783,1011772
1011804,1011803
1011842,1011832
1011847,1011846
1011852,1011851
1011857,1011856
1011869,1011864
1011878,1011875
1011883,1011882
1011913,1011903
1011944,1011938
1011957,1011950
1011982,1011981
1011987,1011986
1011995,1011994
1012000,1011999
1012005,1012004
1012014,1012011
1012019,1012018
1012033,1012032
1012054,1012053
1012059,1012058
1012089,1012088
1012100,1012096
1012105,1012104
1012110,1012109
1012120,1012117
1012135,1012126
1012142,1012141
1012150,1012149
1012168,1012167
1012173,1012172
1012208,1012207
1012223,1012215
1012228,1012227
1012233,1012232
1012238,1012237
1012249,1012245
1012256,1012255
1012273,1012272
1012294,1012293
1012299,1012298
1012304,1012303
1012338,1012337
1012343,1012342
1012348,1012347
1012353,1012352
1012358,1012357
1012370,1012365
1012380,1012379
1012390,1012387
1012412,1012411
1012417,1012416
1012444,1012443
1012449,1012448
1012462,1012456
1012467,1012466
1012472,1012471
1012480,1012479
1012496,1012495
1012519,1012518
1012526,1012525
1012552,1012551
1012559,1012558
1012566,1012565
1012571,1012570
1012576,1012575
1012581,1012580
1012586,1012585
1012616,1012611
1012621,1012620
1012658,1012651
1012663,1012662
1012668,1012667
1012673,1012672
1012678,1012677
1012689,1012684
1012694,1012693
1012709,1012708
1012736,1012733
1012743,1012742
1012768,1012767
1012773,1012772
1012778,1012777
1012783,1012782
1012788,1012787
1012799,1012794
1012808,1012807
1012831,1012830
1012836,1012835
1012841,1012840
1012854,1012848
1012879,1012878
1012886,1012885
1012891,1012890
1012908,1012897
1012913,1012912
1012926,1012921
1012931,1012930
1012936,1012935
1012951,1012950
1012956,1012955
1012982,1012981
1012987,1012986
1013022,1013018
1013033,1013028
1013038,1013037
1013052,1013046
1013069,1013060
1013074,1013073
1013086,1013081
1013104,1013103
1013132,1013131
1013160,1013159
1013165,1013164
1013170,1013169
1013175,1013174
1013180,1013179
1013190,1013186
1013201,1013200
1013219,1013218
1013229,1013226
1013238,1013235
1013263,1013262
1013268,1013267
1013277,1013274
1013290,1013283
1013299,1013296
1013304,1013303
1013314,1013311
1013325,1013324
1013346,1013345
1013355,1013352
1013380,1013379
1013385,1013384
1013390,1013389
1013395,1013394
1013400,1013399
1013416,1013406
1013427,1013423
1013443,1013442
