protein,keywords
1009156,1000155
1009156,1000158
1009156,1000308
1009156,1000838
1009167,1000012
1009167,1000015
1009167,1000225
1009167,1000575
1009188,1000014
1009207,1000012
1009207,1000015
1009207,1000439
1009245,1000012
1009245,1000015
1009282,1000012
1009282,1000015
1009282,1000016
1009282,1000310
1009282,1000393
1009282,1000838
1009282,1009279
1009318,1000235
1009318,1001383
1009326,1000016
1009326,1000891
1009351,1000393
1009351,1000529
1009351,1000530
1009360,1000439
1009384,1002976
1009402,1000012
1009402,1000015
1009402,1000225
1009402,1000575
1009455,1003790
1009459,1000016
1009459,1000891
1009503,1003790
1009514,1000236
1009544,1000102
1009544,1000155
1009544,1000158
1009553,1000015
1009553,1000308
1009553,1000574
1009562,1000014
1009562,1000016
1009584,1000195
1009584,1001942
1009597,1000195
1009597,1001942
1009611,1000491
1009611,1003133
1009667,1000394
1009690,1000015
1009690,1000574
1009708,1000016
1009708,1000631
1009740,1000102
1009740,1000155
1009740,1000158
1009740,1000308
1009740,1001013
1009740,1001014
1009780,1000308
1009780,1000393
1009780,1000439
1009780,1004227
1009780,1009768
1009792,1000012
1009792,1000015
1009792,1000308
1009792,1001308
1009820,1000394
1009830,1000194
1009889,1000012
1009889,1000015
1009889,1000224
1009889,1000225
1009889,1000226
1009889,1000426
1009889,1001942
1009895,1000155
1009895,1000426
1009908,1000016
1009908,1000560
1009908,1000562
1009908,1000891
1009927,1000235
1009927,1000236
1009956,1001413
1009982,1000012
1009982,1000015
1009982,1000158
1009982,1000308
1009982,1000545
1010047,1000015
1010047,1000561
1010047,1000574
1010083,1000016
1010083,1000560
1010083,1000562
1010083,1000891
1010103,1000308
1010103,1000439
1010103,1000440
1010161,1000195
1010181,1000308
1010231,1000086
1010256,1000086
1010315,1000611
1010315,1004149
1010315,1010301
1010315,1010302
1010323,1000308
1010329,1000102
1010329,1000133
1010329,1000134
1010329,1000155
1010329,1000156
1010340,1000016
1010340,1000245
1010354,1001413
1010392,1000158
1010396,1000195
1010433,1000012
1010433,1000015
1010455,1000016
1010455,1002861
1010464,1000195
1010464,1001942
1010543,1000394
1010564,1001413
1010571,1000155
1010571,1000158
1010580,1000016
1010580,1000245
1010589,1000016
1010589,1000560
1010589,1000891
1010634,1000012
1010634,1000014
1010634,1000015
1010634,1000016
1010634,1000546
1010671,1000235
1010671,1000236
1010681,1000393
1010681,1000529
1010681,1000530
1010686,1000012
1010686,1000015
1010686,1001413
1010686,1001552
1010686,1001553
1010691,1000394
1010756,1000194
1010813,1000394
1010817,1000611
1010826,1000014
1010826,1000016
1010858,1000012
1010858,1000015
1010858,1000999
1010869,1000236
1010891,1000016
1010914,1000195
1010914,1001942
1010933,1000561
1010949,1004227
1010988,1000491
1010988,1001942
1010988,1003133
1011018,1001618
1011038,1002158
1011055,1001553
1011055,1002158
1011079,1002158
1011088,1000393
1011088,1000529
1011088,1000530
1011110,1000394
1011110,1000718
1011110,1000719
1011144,1000016
1011144,1000631
1011162,1000016
1011162,1002861
1011162,1011159
1011170,1000016
1011170,1000891
1011183,1000393
1011183,1000529
1011183,1000530
1011198,1001413
1011240,1000012
1011240,1000014
1011240,1000015
1011240,1000016
1011240,1000546
1011247,1000491
1011247,1003133
1011253,1000016
1011318,1000491
1011318,1003133
1011340,1000235
1011340,1000236
1011355,1004227
1011400,1000308
1011400,1002976
1011411,1000308
1011416,1000491
1011427,1000014
1011438,1000308
1011438,1000439
1011438,1002976
1011438,1011435
1011446,1000308
1011481,1002701
1011508,1000393
1011508,1000529
1011508,1000530
1011528,1000016
1011532,1000012
1011532,1000015
1011541,1000426
1011546,1000561
1011558,1000102
1011558,1000158
1011558,1000195
1011570,1001413
1011570,1002701
1011583,1000016
1011637,1000393
1011637,1000529
1011637,1000530
1011654,1005332
1011689,1000394
1011689,1000718
1011689,1000719
1011727,1000393
1011727,1000529
1011727,1000530
1011756,1000195
1011756,1001942
1011783,1000012
1011783,1000015
1011783,1005478
1011795,1000195
1011795,1001942
1011820,1001308
1011842,1000012
1011842,1000015
1011842,1000225
1011842,1000575
1011847,1001965
1011869,1002158
1011913,1000014
1011913,1005332
1011957,1000308
1012063,1000195
1012063,1001942
1012120,1000015
1012120,1000574
1012135,1000102
1012135,1000155
1012135,1000156
1012135,1000393
1012135,1000529
1012135,1000720
1012135,1000721
1012135,1005635
1012150,1000394
1012173,1000195
1012173,1001942
1012179,1000087
1012179,1000308
1012179,1000439
1012179,1002976
1012179,1011435
1012199,1000012
1012199,1000014
1012199,1000015
1012199,1000016
1012199,1000546
1012249,1000016
1012260,1000308
1012312,1000611
1012370,1000999
1012375,1000393
1012375,1000529
1012375,1000530
1012425,1000195
1012437,1000102
1012437,1000158
1012510,1002976
1012526,1002158
1012534,1000308
1012542,1000611
1012542,1001618
1012586,1000195
1012586,1001942
1012595,1000393
1012595,1000529
1012595,1000530
1012616,1000012
1012616,1000014
1012616,1000015
1012616,1000016
1012616,1000546
1012629,1001413
1012658,1000014
1012704,1000393
1012704,1000529
1012704,1000530
1012736,1001413
1012799,1000236
1012803,1001308
1012886,1000195
1012886,1005827
1012908,1000308
1012926,1000015
1012926,1000574
1012941,1000308
1012946,1002792
1012982,1005827
1013033,1000308
1013038,1000195
1013038,1001942
1013052,1000016
1013052,1000631
1013069,1000394
1013094,1000236
1013127,1000102
1013127,1000155
1013127,1000158
1013127,1000308
1013127,1001013
1013127,1001014
1013152,1000195
1013152,1000427
1013160,1000016
1013210,1000394
1013290,1001618
1013314,1000393
1013314,1000529
1013314,1000530
1013318,1000308
1013318,1003966
1013339,1000195
1013339,1001942
1013359,1000015
1013359,1000574
1013359,1002158
1013363,1001942
1013369,1000012
1013369,1000015
1013369,1001413
1013369,1001552
1013369,1001553
1013437,1000012
1013437,1000015
1013437,1000225
1013437,1000575
1013455,1000561
1013455,1000999
1013467,1000012
1013467,1000308
1013467,1001308
1013491,1000561
1013491,1000999
1013491,1001438
1013491,1001439
1013524,1000426
1013548,1001618
1013555,1000195
1013555,1000427
1013581,1000015
1013581,1000102
1013581,1000156
1013581,1000561
1013581,1000574
1013693,1000016
1013693,1000561
1013693,1002861
1013701,1001308
1013714,1001773
1013765,1000014
1013770,1000195
1013770,1005827
1013823,1001413
1013823,1002701
1013833,1000561
1013833,1000999
1013833,1002158
1013869,1000308
1013869,1000439
1013869,1000529
1013869,1004227
1013869,1004228
1013896,1005332
1013953,1001413
1013953,1002701
1013966,1000393
1013966,1000529
1013966,1000530
1013970,1001413
1013991,1000155
1013991,1000158
1014021,1000012
1014021,1000015
1014021,1002976
1014048,1000236
1014062,1001308
1014085,1000195
1014099,1000012
1014099,1000015
1014099,1000308
1014099,1001308
1014127,1000012
