location,datasets
2002395,2000001
2002398,2000001
2002400,2000001
2002402,2000001
2002404,2000001
2002406,2000001
2002408,2000001
2002410,2000001
2002412,2000001
2002414,2000001
2002416,2000001
2002418,2000001
2002420,2000001
2002422,2000001
2002424,2000001
2002426,2000001
2002428,2000001
2002430,2000001
2002432,2000001
2002434,2000001
2002436,2000001
2002438,2000001
2002440,2000001
2002442,2000001
2002444,2000001
2002446,2000001
2002448,2000001
2002450,2000001
2002452,2000001
2002454,2000001
2002456,2000001
2002458,2000001
2002460,2000001
2002462,2000001
2002464,2000001
2002466,2000001
2002468,2000001
2002470,2000001
2002472,2000001
2002474,2000001
2002476,2000001
2002478,2000001
2002480,2000001
2002482,2000001
2002484,2000001
2002486,2000001
2002488,2000001
2002490,2000001
2002492,2000001
2002494,2000001
2002496,2000001
2002498,2000001
2002500,2000001
2002502,2000001
2002504,2000001
2002506,2000001
2002508,2000001
2002510,2000001
2002512,2000001
2002514,2000001
2002516,2000001
2002518,2000001
2002520,2000001
2002522,2000001
2002524,2000001
2002526,2000001
2002528,2000001
2002530,2000001
2002532,2000001
2002534,2000001
2002536,2000001
2002538,2000001
2002540,2000001
2002542,2000001
2002544,2000001
2002546,2000001
2002548,2000001
2002550,2000001
2002552,2000001
2002554,2000001
2002556,2000001
2002558,2000001
2002560,2000001
2002562,2000001
2002564,2000001
2002566,2000001
2002568,2000001
2002570,2000001
2002572,2000001
2002574,2000001
2002576,2000001
2002578,2000001
2002580,2000001
2002582,2000001
2002584,2000001
2002586,2000001
2002588,2000001
2002590,2000001
2002592,2000001
2002594,2000001
2002596,2000001
2002598,2000001
2002600,2000001
2002602,2000001
2002604,2000001
2002606,2000001
2002608,2000001
2002610,2000001
2002612,2000001
2002614,2000001
2002616,2000001
2002618,2000001
2002620,2000001
2002622,2000001
2002624,2000001
2002626,2000001
2002628,2000001
2002630,2000001
2002632,2000001
2002634,2000001
2002636,2000001
2002638,2000001
2002640,2000001
2002642,2000001
2002644,2000001
2002646,2000001
2002648,2000001
2002650,2000001
2002652,2000001
2002654,2000001
2002656,2000001
2002658,2000001
2002660,2000001
2002662,2000001
2002664,2000001
2002666,2000001
2002668,2000001
2002670,2000001
2002672,2000001
2002674,2000001
2002676,2000001
2002678,2000001
2002680,2000001
2002682,2000001
2002684,2000001
2002686,2000001
2002688,2000001
2002690,2000001
2002692,2000001
2002694,2000001
2002696,2000001
2002698,2000001
2002700,2000001
2002702,2000001
2002704,2000001
2002706,2000001
2002708,2000001
2002710,2000001
2002712,2000001
2002714,2000001
2002716,2000001
2002718,2000001
2002720,2000001
2002722,2000001
2002724,2000001
2002726,2000001
2002728,2000001
2002730,2000001
2002732,2000001
2002734,2000001
2002736,2000001
2002738,2000001
2002740,2000001
2002742,2000001
2002744,2000001
2002746,2000001
2002748,2000001
2002750,2000001
2002752,2000001
2002754,2000001
2002756,2000001
2002758,2000001
2002760,2000001
2002762,2000001
2002764,2000001
2002766,2000001
2002768,2000001
2002770,2000001
2002772,2000001
2002774,2000001
2002776,2000001
2002778,2000001
2002780,2000001
2002782,2000001
2002784,2000001
2002786,2000001
2002788,2000001
2002790,2000001
2002792,2000001
2002794,2000001
2002796,2000001
2002798,2000001
2002800,2000001
2002802,2000001
2002804,2000001
2002806,2000001
2002808,2000001
2002810,2000001
2002812,2000001
2002814,2000001
2002816,2000001
2002818,2000001
2002820,2000001
2002822,2000001
2002824,2000001
2002826,2000001
2002828,2000001
2002830,2000001
2002832,2000001
2002834,2000001
2002836,2000001
2002838,2000001
2002840,2000001
2002842,2000001
2002844,2000001
2002846,2000001
2002848,2000001
2002850,2000001
2002852,2000001
2002854,2000001
2002856,2000001
2002858,2000001
2002860,2000001
2002862,2000001
2002864,2000001
2002866,2000001
2002868,2000001
2002870,2000001
2002872,2000001
2002874,2000001
2002876,2000001
2002878,2000001
2002880,2000001
2002882,2000001
2002884,2000001
2002886,2000001
2002888,2000001
2002890,2000001
2002892,2000001
2002894,2000001
2002896,2000001
2002898,2000001
2002900,2000001
2002902,2000001
2002904,2000001
2002906,2000001
2002908,2000001
2002910,2000001
2002912,2000001
2002914,2000001
2002916,2000001
2002918,2000001
2002920,2000001
2002922,2000001
2002924,2000001
2002926,2000001
2002928,2000001
2002930,2000001
2002932,2000001
2002934,2000001
2002936,2000001
2002938,2000001
2002940,2000001
2002942,2000001
2002944,2000001
2002946,2000001
2002948,2000001
2002950,2000001
2002952,2000001
2002954,2000001
2002956,2000001
2002958,2000001
2002960,2000001
2002962,2000001
2002964,2000001
2002966,2000001
2002968,2000001
2002970,2000001
2002972,2000001
2002974,2000001
2002976,2000001
2002978,2000001
2002980,2000001
2002982,2000001
2002984,2000001
2002986,2000001
2002988,2000001
2002990,2000001
2002992,2000001
2002994,2000001
2002996,2000001
2002998,2000001
2003000,2000001
2003002,2000001
2003004,2000001
2003006,2000001
2003008,2000001
2003010,2000001
2003012,2000001
2003014,2000001
2003016,2000001
2003018,2000001
2003020,2000001
2003022,2000001
2003024,2000001
2003026,2000001
2003028,2000001
2003030,2000001
2003032,2000001
2003034,2000001
2003036,2000001
2003038,2000001
2003040,2000001
2003042,2000001
2003044,2000001
2003046,2000001
2003048,2000001
2003050,2000001
2003052,2000001
2003054,2000001
2003056,2000001
2003058,2000001
2003060,2000001
2003062,2000001
2003064,2000001
2003066,2000001
2003068,2000001
2003070,2000001
2003072,2000001
2003074,2000001
2003076,2000001
2003078,2000001
2003080,2000001
2003082,2000001
2003084,2000001
2003086,2000001
2003088,2000001
2003090,2000001
2003092,2000001
2003094,2000001
2003096,2000001
2003098,2000001
2003100,2000001
2003102,2000001
2003104,2000001
2003106,2000001
2003108,2000001
2003110,2000001
2003112,2000001
2003114,2000001
2003116,2000001
2003118,2000001
2003120,2000001
2003122,2000001
2003124,2000001
2003126,2000001
2003128,2000001
2003130,2000001
2003132,2000001
2003134,2000001
2003136,2000001
2003138,2000001
2003140,2000001
2003142,2000001
2003144,2000001
2003146,2000001
2003148,2000001
2003150,2000001
2003152,2000001
2003154,2000001
2003156,2000001
2003158,2000001
2003160,2000001
2003162,2000001
2003164,2000001
2003166,2000001
2003168,2000001
2003170,2000001
2003172,2000001
2003174,2000001
2003176,2000001
2003178,2000001
2003180,2000001
2003182,2000001
2003184,2000001
2003186,2000001
2003188,2000001
2003190,2000001
2003192,2000001
2003194,2000001
2003196,2000001
2003198,2000001
2003200,2000001
2003202,2000001
2003204,2000001
2003206,2000001
2003208,2000001
2003210,2000001
2003212,2000001
2003214,2000001
2003216,2000001
2003218,2000001
2003220,2000001
2003222,2000001
2003224,2000001
2003226,2000001
2003228,2000001
2003230,2000001
2003232,2000001
2003234,2000001
2003236,2000001
2003238,2000001
2003240,2000001
2003242,2000001
2003244,2000001
2003246,2000001
2003248,2000001
2003250,2000001
2003252,2000001
2003254,2000001
2003256,2000001
2003258,2000001
2003260,2000001
2003262,2000001
2003264,2000001
2003266,2000001
2003268,2000001
2003270,2000001
2003272,2000001
2003274,2000001
2003276,2000001
2003278,2000001
2003280,2000001
2003282,2000001
2003284,2000001
2003286,2000001
2003288,2000001
2003290,2000001
2003292,2000001
2003294,2000001
2003296,2000001
2003298,2000001
2003300,2000001
2003302,2000001
2003304,2000001
2003306,2000001
2003308,2000001
2003310,2000001
2003312,2000001
2003314,2000001
2003316,2000001
2003318,2000001
2003320,2000001
2003323,2000001
2003325,2000001
2003327,2000001
2003329,2000001
2003331,2000001
2003333,2000001
2003335,2000001
2003337,2000001
2003339,2000001
2003341,2000001
2003343,2000001
2003345,2000001
2003347,2000001
2003349,2000001
2003351,2000001
2003353,2000001
2003355,2000001
2003357,2000001
2003359,2000001
2003361,2000001
2003363,2000001
2003365,2000001
2003367,2000001
2003369,2000001
2003371,2000001
2003373,2000001
2003375,2000001
2003377,2000001
2003379,2000001
2003381,2000001
2003383,2000001
2003385,2000001
2003387,2000001
