exons,transcripts
2005471,2005469
2005477,2005475
2005479,2005475
2005485,2005483
2005491,2005489
2005493,2005489
2005499,2005497
2005501,2005497
2005503,2005497
2005505,2005497
2005507,2005497
2005513,2005511
2005515,2005511
2005517,2005511
2005519,2005511
2005521,2005511
2005523,2005511
2005525,2005511
2005531,2005529
2005533,2005529
2005535,2005529
2005541,2005539
2005547,2005545
2005549,2005545
2005555,2005553
2005561,2005559
2005563,2005559
2005569,2005567
2005571,2005567
2005573,2005567
2005575,2005567
2005577,2005567
2005579,2005567
2005581,2005567
2005583,2005567
2005589,2005587
2005595,2005593
2005601,2005599
2005603,2005599
2005609,2005607
2005611,2005607
2005613,2005607
2005615,2005607
2005617,2005607
2005619,2005607
2005621,2005607
2005623,2005607
2005629,2005627
2005635,2005633
2005641,2005639
2005643,2005639
2005649,2005647
2005651,2005647
2005657,2005655
2005663,2005661
2005669,2005667
2005671,2005667
2005673,2005667
2005679,2005677
2005685,2005683
2005687,2005683
2005689,2005683
2005691,2005683
2005693,2005683
2005699,2005697
2005705,2005703
2005711,2005709
2005717,2005715
2005723,2005721
2005725,2005721
2005727,2005721
2005729,2005721
2005731,2005721
2005733,2005721
2005735,2005721
2005737,2005721
2005739,2005721
2005741,2005721
2005747,2005745
2005749,2005745
2005751,2005745
2005757,2005755
2005763,2005761
2005765,2005761
2005767,2005761
2005769,2005761
2005771,2005761
2005773,2005761
2005775,2005761
2005777,2005761
2005779,2005761
2005785,2005783
2005791,2005789
2005797,2005795
2005799,2005795
2005801,2005795
2005803,2005795
2005805,2005795
2005807,2005795
2005813,2005811
2005815,2005811
2005817,2005811
2005823,2005821
2005829,2005827
2005835,2005833
2005837,2005833
2005843,2005841
2005849,2005847
2005855,2005853
2005857,2005853
2005859,2005853
2005865,2005863
2005867,2005863
2005873,2005871
2005875,2005871
2005877,2005871
2005879,2005871
2005881,2005871
2005887,2005885
2005889,2005885
2005891,2005885
2005893,2005885
2005895,2005885
2005897,2005885
2005899,2005885
2005901,2005885
2005907,2005905
2005914,2005912
2005916,2005912
2005918,2005912
2005924,2005922
2005926,2005922
2005928,2005922
2005934,2005932
2005936,2005932
2005938,2005932
2005940,2005932
2005946,2005944
2005952,2005950
2005954,2005950
2005956,2005950
2005958,2005950
2005964,2005962
2005970,2005968
2005972,2005968
2005974,2005968
2005976,2005968
2005978,2005968
2005984,2005982
2005990,2005988
2005992,2005988
2005998,2005996
2006004,2006002
2006010,2006008
2006016,2006014
2006018,2006014
2006024,2006022
2006026,2006022
2006028,2006022
2006030,2006022
2006036,2006034
2006042,2006040
2006048,2006046
2006050,2006046
2006052,2006046
2006054,2006046
2006056,2006046
2006062,2006060
2006069,2006067
2006075,2006073
2006077,2006073
2006083,2006081
2006085,2006081
2006092,2006090
2006099,2006097
2006105,2006103
2006107,2006103
2006113,2006111
2006119,2006117
2006121,2006117
2006127,2006125
2006133,2006131
2006139,2006137
2006141,2006137
2006147,2006145
2006153,2006151
2006159,2006157
2006165,2006163
2006167,2006163
2006173,2006171
2006175,2006171
2006177,2006171
2006183,2006181
2006189,2006187
2006195,2006193
2006197,2006193
2006199,2006193
2006205,2006203
2006211,2006209
2006217,2006215
2006219,2006215
2006225,2006223
2006231,2006229
2006233,2006229
2006235,2006229
2006241,2006239
2006243,2006239
2006249,2006247
2006251,2006247
2006257,2006255
2006263,2006261
2006269,2006267
2006271,2006267
2006273,2006267
2006275,2006267
2006277,2006267
2006279,2006267
2006281,2006267
2006287,2006285
2006289,2006285
2006291,2006285
2006293,2006285
2006295,2006285
2006297,2006285
2006303,2006301
2006309,2006307
2006315,2006313
2006321,2006319
2006327,2006325
2006333,2006331
2006335,2006331
2006337,2006331
2006339,2006331
2006345,2006343
2006347,2006343
2006353,2006351
2006355,2006351
2006361,2006359
2006367,2006365
2006369,2006365
2006371,2006365
2006377,2006375
2006379,2006375
2006381,2006375
2006387,2006385
2006393,2006391
2006395,2006391
2006397,2006391
2006399,2006391
2006401,2006391
2006407,2006405
2006413,2006411
2006419,2006417
2006425,2006423
2006427,2006423
2006429,2006423
2006431,2006423
2006433,2006423
2006435,2006423
2006437,2006423
2006439,2006423
2006441,2006423
2006443,2006423
2006445,2006423
2006447,2006423
2006449,2006423
2006451,2006423
2006453,2006423
2006459,2006457
2006461,2006457
2006463,2006457
2006469,2006467
2006475,2006473
2006481,2006479
2006483,2006479
2006485,2006479
2006487,2006479
2006489,2006479
2006491,2006479
2006493,2006479
2006499,2006497
2006501,2006497
2006507,2006505
2006513,2006511
2006515,2006511
2006521,2006519
2006527,2006525
2006533,2006531
2006535,2006531
2006537,2006531
2006543,2006541
2006550,2006548
2006552,2006548
2006554,2006548
2006560,2006558
2006562,2006558
2006568,2006566
2006574,2006572
2006576,2006572
2006578,2006572
2006580,2006572
2006586,2006584
2006592,2006590
2006598,2006596
2006600,2006596
2006606,2006604
2006612,2006610
2006618,2006616
2006620,2006616
2006626,2006624
2006632,2006630
2006638,2006636
2006640,2006636
2006646,2006644
2006648,2006644
2006654,2006652
2006656,2006652
2006658,2006652
2006664,2006662
2006670,2006668
2006672,2006668
